Date,Open,High,Low,Close,Adj Close,Volume
06-10-2020,115.699997,116.120003,112.25,113.160004,111.30101,161498200
07-10-2020,114.620003,115.550003,114.129997,115.080002,113.189453,96849000
08-10-2020,116.25,116.400002,114.589996,114.970001,113.081276,83477200
09-10-2020,115.279999,117,114.919998,116.970001,115.048409,100506900
12-10-2020,120.059998,125.18,119.279999,124.400002,122.356346,240226800
13-10-2020,125.269997,125.389999,119.650002,121.099998,119.110542,262330500
14-10-2020,121,123.029999,119.620003,121.190002,119.199089,150712000
15-10-2020,118.720001,121.199997,118.150002,120.709999,118.726959,112559200
16-10-2020,121.279999,121.550003,118.809998,119.019997,117.064728,115393800
19-10-2020,119.959999,120.419998,115.660004,115.980003,114.074669,120639300
20-10-2020,116.199997,118.980003,115.629997,117.510002,115.579536,124423700
21-10-2020,116.669998,118.709999,116.449997,116.870003,114.95005,89946000
22-10-2020,117.449997,118.040001,114.589996,115.75,113.84845,101988000
23-10-2020,116.389999,116.550003,114.279999,115.040001,113.150116,82572600
26-10-2020,114.010002,116.550003,112.879997,115.050003,113.159966,111850700
27-10-2020,115.489998,117.279999,114.540001,116.599998,114.684486,92276800
28-10-2020,115.050003,115.43,111.099998,111.199997,109.373199,143937800
29-10-2020,112.370003,116.93,112.199997,115.32,113.425514,146129200
30-10-2020,111.059998,111.989998,107.720001,108.860001,107.071625,190272600
02-11-2020,109.110001,110.68,107.32,108.769997,106.983109,122866900
03-11-2020,109.660004,111.489998,108.730003,110.440002,108.625664,107624400
04-11-2020,114.139999,115.589996,112.349998,114.949997,113.061592,138235500
05-11-2020,117.949997,119.620003,116.870003,119.029999,117.074554,126387100
06-11-2020,118.32,119.199997,116.129997,118.690002,116.941566,114457900
09-11-2020,120.5,121.989998,116.050003,116.32,114.606476,154515300
10-11-2020,115.550003,117.589996,114.129997,115.970001,114.26162,138023400
11-11-2020,117.190002,119.629997,116.440002,119.489998,117.729782,112295000
12-11-2020,119.620003,120.529999,118.57,119.209999,117.45388,103162300
13-11-2020,119.440002,119.669998,117.870003,119.260002,117.503166,81581900
16-11-2020,118.919998,120.989998,118.150002,120.300003,118.52784,91183000
17-11-2020,119.550003,120.669998,118.959999,119.389999,117.631248,74271000
18-11-2020,118.610001,119.82,118,118.029999,116.291275,76322100
19-11-2020,117.589996,119.059998,116.809998,118.639999,116.892296,74113000
20-11-2020,118.639999,118.769997,117.290001,117.339996,115.611427,73604300
23-11-2020,117.18,117.620003,113.75,113.849998,112.172852,127959300
24-11-2020,113.910004,115.849998,112.589996,115.169998,113.473412,113874200
25-11-2020,115.550003,116.75,115.169998,116.029999,114.320732,76499200
27-11-2020,116.57,117.489998,116.220001,116.589996,114.872498,46691300
30-11-2020,116.970001,120.970001,116.809998,119.050003,117.296249,169410200
01-12-2020,121.010002,123.470001,120.010002,122.720001,120.912186,127728200
02-12-2020,122.019997,123.370003,120.889999,123.080002,121.266876,89004200
03-12-2020,123.519997,123.779999,122.209999,122.940002,121.128944,78967600
04-12-2020,122.599998,122.860001,121.519997,122.25,120.44912,78260400
07-12-2020,122.309998,124.57,122.25,123.75,121.927017,86712000
08-12-2020,124.370003,124.980003,123.089996,124.379997,122.547729,82225500
09-12-2020,124.529999,125.949997,121,121.779999,119.986031,115089200
10-12-2020,120.5,123.870003,120.150002,123.239998,121.424538,81312200
11-12-2020,122.43,122.760002,120.550003,122.410004,120.606758,86939800
14-12-2020,122.599998,123.349998,121.540001,121.779999,119.986031,79184500
15-12-2020,124.339996,127.900002,124.129997,127.879997,125.99617,157243700
16-12-2020,127.410004,128.369995,126.559998,127.809998,125.927208,98208600
17-12-2020,128.899994,129.580002,128.039993,128.699997,126.804085,94359800
18-12-2020,128.960007,129.100006,126.120003,126.660004,124.794159,192541500
21-12-2020,125.019997,128.309998,123.449997,128.229996,126.341011,121251600
22-12-2020,131.610001,134.410004,129.649994,131.880005,129.937241,168904800
23-12-2020,132.160004,132.429993,130.779999,130.960007,129.030792,88223700
24-12-2020,131.320007,133.460007,131.100006,131.970001,130.02594,54930100
28-12-2020,133.990005,137.339996,133.509995,136.690002,134.676392,124486200
29-12-2020,138.050003,138.789993,134.339996,134.869995,132.883194,121047300
30-12-2020,135.580002,135.990005,133.399994,133.720001,131.750137,96452100
31-12-2020,134.080002,134.740005,131.720001,132.690002,130.735306,99116600
04-01-2021,133.520004,133.610001,126.760002,129.410004,127.503632,143301900
